customer_id,gender,age,tenure_months,contract_type,state,signup_date
10000,Male,64,32,Month-to-month,West Bengal,2022-01-26
10001,Female,29,38,Month-to-month,Tamil Nadu,2020-01-26
10002,Male,33,24,Month-to-month,Delhi,2022-08-12
10003,Male,41,31,Month-to-month,Karnataka,2021-03-15
10004,Male,36,36,Two year,Gujarat,2019-04-23
10005,Female,25,33,Month-to-month,Maharashtra,2020-04-07
10006,Male,48,29,Month-to-month,Tamil Nadu,2020-06-08
10007,Male,38,29,Month-to-month,Maharashtra,2019-10-15
10008,Male,34,30,Two year,Gujarat,2019-02-12
10009,Female,40,27,Month-to-month,Tamil Nadu,2018-10-13
10010,Male,54,22,One year,Gujarat,2023-04-06
10011,Male,71,23,Two year,Delhi,2020-04-30
10012,Male,33,29,Month-to-month,Delhi,2018-04-21
10013,Male,23,32,One year,Delhi,2019-09-12
10014,Female,25,27,Month-to-month,Gujarat,2023-03-18
10015,Male,42,32,Month-to-month,Gujarat,2020-03-03
10016,Female,35,33,One year,Gujarat,2018-02-19
10017,Female,42,33,One year,Maharashtra,2020-11-03
10018,Female,29,24,Month-to-month,Gujarat,2021-03-03
10019,Male,32,25,Month-to-month,Delhi,2019-08-11
10020,Female,43,26,Month-to-month,Karnataka,2019-08-19
10021,Male,58,33,Month-to-month,Gujarat,2021-09-28
10022,Female,62,27,Month-to-month,Karnataka,2019-11-01
10023,Female,43,37,Month-to-month,Delhi,2021-08-02
10024,Female,64,35,Month-to-month,Gujarat,2023-05-12
10025,Female,49,26,One year,Maharashtra,2018-11-10
10026,Female,27,33,Month-to-month,Maharashtra,2019-08-29
10027,Female,33,22,Month-to-month,Karnataka,2018-10-24
10028,Female,24,29,Month-to-month,West Bengal,2022-06-18
10029,Female,34,31,Two year,Maharashtra,2019-07-23
10030,Male,40,29,Month-to-month,Maharashtra,2021-04-02
10031,Male,43,26,Month-to-month,Maharashtra,2020-04-11
10032,Female,38,34,Month-to-month,Delhi,2022-03-01
10033,Female,39,34,One year,Maharashtra,2019-09-02
10034,Female,24,36,Month-to-month,Tamil Nadu,2018-01-16
10035,Male,31,37,One year,Gujarat,2021-09-29
10036,Female,32,33,Two year,Maharashtra,2021-01-06
10037,Male,70,21,One year,West Bengal,2021-10-01
10038,Male,24,27,One year,West Bengal,2018-03-13
10039,Male,26,27,Month-to-month,Maharashtra,2018-09-27
10040,Male,68,34,Month-to-month,Maharashtra,2018-10-14
10041,Male,65,38,Two year,Tamil Nadu,2018-03-07
